TRADEDATE,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,TRADINGSESSION,TRENDCLSPR,ADJ_CLOSE
2015-03-27,GAZP,47410,4344533290.3,132.67,132.2,134.98,134.88,134.03,134.88,32414170,3,2.03,64.9477625218225
2015-03-30,GAZP,38042,3627201336.5,134.5,134.24,137.88,137.0,136.51,137.0,26571490,3,1.57,65.9685903431916
2015-03-31,GAZP,42714,4800950525.7,136.85,136.6,139.19,138.9,138.2,138.9,34740300,3,1.3900000000000001,66.88348320196579
2015-04-01,GAZP,58066,6607237565.7,138.45,137.57,143.2,143.0,141.18,143.0,46798830,3,2.95,68.85772568668904
2015-04-02,GAZP,45857,5052217982.1,143.83,142.32,144.88,143.9,143.85,143.9,35121700,3,0.63,69.29109598821366
2015-04-03,GAZP,25884,2689036654.0,144.0,143.02,145.65,143.94,144.39,143.94,18623200,3,0.03,69.31035689050364
2015-04-06,GAZP,36012,3385195180.1,144.0,143.36,145.7,145.7,144.77,145.7,23383910,3,1.22,70.15783659126288
2015-04-07,GAZP,46596,5565551131.8,145.4,144.8,147.35,146.2,146.1,146.2,38094250,3,0.34,70.39859786988767
2015-04-08,GAZP,38322,4550921345.0,145.83,145.13,147.3,147.27,146.32,147.27,31102640,3,0.73,70.91382700614473
2015-04-09,GAZP,73050,9920515901.4,147.0,143.72,148.74,148.1,146.43,148.1,67748960,3,0.56,71.31349072866186
2015-04-10,GAZP,66421,8264681068.7,148.17,147.0,151.9,148.0,149.16,148.0,55406350,3,-0.07,71.2653384729369
2015-04-13,GAZP,41370,5202649424.5,148.06,146.3,150.0,148.8,148.66,148.8,34995850,3,0.54,71.65055651873658
2015-04-14,GAZP,46903,5822086608.2,148.13,143.9,148.4,144.4,145.22,144.4,40092440,3,-2.96,69.53185726683844
2015-04-15,GAZP,41601,5714303773.2,144.49,144.25,150.1,150.1,147.77,150.1,38670940,3,3.95,72.27653584316101
